model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,01,11,com_cot,A100,90,55,50,6.0,6.0,0.0,94.0,3.3333333333333335
Gemma 27B,01,11,com_cot,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,com_cot,A100,30,60,50,44.0,44.0,0.0,56.00000000000001,2.5454545454545454
Gemma 27B,01,11,com_cot,A100,60,60,50,26.0,26.0,0.0,74.0,2.5384615384615383
Gemma 27B,01,11,com_cot,A100,90,60,50,20.0,20.0,0.0,80.0,3.2
Gemma 27B,01,11,com_cot,A100,120,60,50,2.0,2.0,0.0,98.0,4.0
Gemma 27B,01,11,com_cot,A100,30,65,50,82.0,82.0,0.0,18.0,1.8780487804878048
Gemma 27B,01,11,com_cot,A100,60,65,50,50.0,50.0,0.0,50.0,2.16
Gemma 27B,01,11,com_cot,A100,90,65,50,42.0,42.0,0.0,57.99999999999999,2.6666666666666665
Gemma 27B,01,11,com_cot,A100,120,65,50,26.0,26.0,0.0,74.0,3.076923076923077
Gemma 27B,01,11,com_cot,A100,30,70,50,94.0,94.0,0.0,6.0,1.6595744680851063
Gemma 27B,01,11,com_cot,A100,60,70,50,76.0,76.0,0.0,24.0,2.1315789473684212
Gemma 27B,01,11,com_cot,A100,90,70,50,54.0,54.0,0.0,46.0,1.9259259259259258
Gemma 27B,01,11,com_cot,A100,120,70,50,50.0,50.0,0.0,50.0,2.56
Gemma 27B,01,11,only_token,A100,30,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,30,55,50,6.0,6.0,0.0,94.0,4.333333333333333
Gemma 27B,01,11,only_token,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,30,60,50,28.000000000000004,28.000000000000004,0.0,72.0,3.2142857142857144
Gemma 27B,01,11,only_token,A100,60,60,50,6.0,6.0,0.0,94.0,5.333333333333333
Gemma 27B,01,11,only_token,A100,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,only_token,A100,30,65,50,64.0,64.0,0.0,36.0,2.375
Gemma 27B,01,11,only_token,A100,60,65,50,28.000000000000004,28.000000000000004,0.0,72.0,3.5714285714285716
Gemma 27B,01,11,only_token,A100,90,65,50,16.0,16.0,0.0,84.0,3.125
Gemma 27B,01,11,only_token,A100,120,65,50,2.0,2.0,0.0,98.0,5.0
Gemma 27B,01,11,only_token,A100,30,70,50,78.0,78.0,0.0,22.0,1.9230769230769231
Gemma 27B,01,11,only_token,A100,60,70,50,56.00000000000001,56.00000000000001,0.0,44.0,2.3214285714285716
Gemma 27B,01,11,only_token,A100,90,70,50,36.0,36.0,0.0,64.0,2.7777777777777777
Gemma 27B,01,11,only_token,A100,120,70,50,24.0,24.0,0.0,76.0,3.5
Gemma 27B,ab,7,com_cot,A100,30,51,50,50.0,100.0,50.0,0.0,9.56
Gemma 27B,ab,7,com_cot,A100,60,51,50,50.0,100.0,50.0,0.0,16.28
Gemma 27B,ab,7,com_cot,A100,90,51,50,50.0,100.0,50.0,0.0,20.0
Gemma 27B,ab,7,com_cot,A100,120,51,50,50.0,100.0,50.0,0.0,21.56
Gemma 27B,ab,7,com_cot,A100,30,55,50,50.0,100.0,50.0,0.0,7.48
Gemma 27B,ab,7,com_cot,A100,60,55,50,50.0,100.0,50.0,0.0,14.12
Gemma 27B,ab,7,com_cot,A100,90,55,50,50.0,100.0,50.0,0.0,15.6
Gemma 27B,ab,7,com_cot,A100,120,55,50,50.0,100.0,50.0,0.0,18.12
Gemma 27B,ab,7,com_cot,A100,30,60,50,52.0,100.0,48.0,0.0,6.115384615384615
Gemma 27B,ab,7,com_cot,A100,60,60,50,50.0,100.0,50.0,0.0,8.4
Gemma 27B,ab,7,com_cot,A100,90,60,50,50.0,100.0,50.0,0.0,11.28
Gemma 27B,ab,7,com_cot,A100,120,60,50,50.0,100.0,50.0,0.0,13.2
Gemma 27B,ab,7,com_cot,A100,30,65,50,66.0,100.0,34.0,0.0,3.484848484848485
Gemma 27B,ab,7,com_cot,A100,60,65,50,52.0,100.0,48.0,0.0,4.961538461538462
Gemma 27B,ab,7,com_cot,A100,90,65,50,52.0,100.0,48.0,0.0,6.961538461538462
Gemma 27B,ab,7,com_cot,A100,120,65,50,50.0,100.0,50.0,0.0,8.48
Gemma 27B,ab,7,com_cot,A100,30,70,50,76.0,100.0,24.0,0.0,2.526315789473684
Gemma 27B,ab,7,com_cot,A100,60,70,50,62.0,100.0,38.0,0.0,3.7096774193548385
Gemma 27B,ab,7,com_cot,A100,90,70,50,62.0,100.0,38.0,0.0,4.548387096774194
Gemma 27B,ab,7,com_cot,A100,120,70,50,50.0,100.0,50.0,0.0,5.84
Gemma 27B,ab,7,only_token,A100,30,51,50,2.0,2.0,0.0,98.0,5.0
Gemma 27B,ab,7,only_token,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,30,55,50,4.0,4.0,0.0,96.0,2.0
Gemma 27B,ab,7,only_token,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,30,60,50,8.0,8.0,0.0,92.0,2.75
Gemma 27B,ab,7,only_token,A100,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,30,65,50,30.0,30.0,0.0,70.0,2.4
Gemma 27B,ab,7,only_token,A100,60,65,50,14.000000000000002,14.000000000000002,0.0,86.0,2.5714285714285716
Gemma 27B,ab,7,only_token,A100,90,65,50,6.0,6.0,0.0,94.0,3.6666666666666665
Gemma 27B,ab,7,only_token,A100,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,7,only_token,A100,30,70,50,50.0,50.0,0.0,50.0,1.96
Gemma 27B,ab,7,only_token,A100,60,70,50,24.0,24.0,0.0,76.0,2.5833333333333335
Gemma 27B,ab,7,only_token,A100,90,70,50,12.0,12.0,0.0,88.0,3.1666666666666665
Gemma 27B,ab,7,only_token,A100,120,70,50,2.0,2.0,0.0,98.0,4.0
Gemma 27B,ab,9,com_cot,A100,30,51,50,50.0,100.0,50.0,0.0,9.6
Gemma 27B,ab,9,com_cot,A100,60,51,50,50.0,100.0,50.0,0.0,18.36
Gemma 27B,ab,9,com_cot,A100,90,51,50,50.0,100.0,50.0,0.0,25.0
Gemma 27B,ab,9,com_cot,A100,120,51,50,50.0,100.0,50.0,0.0,26.84
Gemma 27B,ab,9,com_cot,A100,30,55,50,54.0,100.0,46.0,0.0,7.518518518518518
Gemma 27B,ab,9,com_cot,A100,60,55,50,50.0,100.0,50.0,0.0,14.2
Gemma 27B,ab,9,com_cot,A100,90,55,50,50.0,100.0,50.0,0.0,16.96
Gemma 27B,ab,9,com_cot,A100,120,55,50,50.0,100.0,50.0,0.0,19.68
Gemma 27B,ab,9,com_cot,A100,30,60,50,60.0,100.0,40.0,0.0,4.966666666666667
Gemma 27B,ab,9,com_cot,A100,60,60,50,52.0,100.0,48.0,0.0,9.423076923076923
Gemma 27B,ab,9,com_cot,A100,90,60,50,50.0,100.0,50.0,0.0,11.56
Gemma 27B,ab,9,com_cot,A100,120,60,50,50.0,100.0,50.0,0.0,15.08
Gemma 27B,ab,9,com_cot,A100,30,65,50,80.0,100.0,20.0,0.0,2.35
Gemma 27B,ab,9,com_cot,A100,60,65,50,68.0,100.0,32.0,0.0,5.588235294117647
Gemma 27B,ab,9,com_cot,A100,90,65,50,57.99999999999999,100.0,42.0,0.0,6.620689655172414
Gemma 27B,ab,9,com_cot,A100,120,65,50,50.0,100.0,50.0,0.0,9.6
Gemma 27B,ab,9,com_cot,A100,30,70,50,88.0,100.0,12.0,0.0,1.7954545454545454
Gemma 27B,ab,9,com_cot,A100,60,70,50,76.0,100.0,24.0,0.0,3.1842105263157894
Gemma 27B,ab,9,com_cot,A100,90,70,50,70.0,100.0,30.0,0.0,3.8857142857142857
Gemma 27B,ab,9,com_cot,A100,120,70,50,66.0,100.0,34.0,0.0,5.666666666666667
Gemma 27B,ab,9,only_token,A100,30,51,50,4.0,4.0,0.0,96.0,4.5
Gemma 27B,ab,9,only_token,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,30,55,50,6.0,6.0,0.0,94.0,3.3333333333333335
Gemma 27B,ab,9,only_token,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,30,60,50,22.0,22.0,0.0,78.0,2.8181818181818183
Gemma 27B,ab,9,only_token,A100,60,60,50,6.0,6.0,0.0,94.0,3.3333333333333335
Gemma 27B,ab,9,only_token,A100,90,60,50,2.0,2.0,0.0,98.0,7.0
Gemma 27B,ab,9,only_token,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,A100,30,65,50,52.0,52.0,0.0,48.0,2.076923076923077
Gemma 27B,ab,9,only_token,A100,60,65,50,28.000000000000004,28.000000000000004,0.0,72.0,2.9285714285714284
Gemma 27B,ab,9,only_token,A100,90,65,50,10.0,10.0,0.0,90.0,2.6
Gemma 27B,ab,9,only_token,A100,120,65,50,2.0,2.0,0.0,98.0,5.0
Gemma 27B,ab,9,only_token,A100,30,70,50,66.0,66.0,0.0,34.0,1.7575757575757576
Gemma 27B,ab,9,only_token,A100,60,70,50,46.0,46.0,0.0,54.0,2.391304347826087
Gemma 27B,ab,9,only_token,A100,90,70,50,28.000000000000004,28.000000000000004,0.0,72.0,2.7857142857142856
Gemma 27B,ab,9,only_token,A100,120,70,50,18.0,18.0,0.0,82.0,2.888888888888889
Gemma 27B,ab,11,com_cot,A100,30,51,50,14.000000000000002,14.000000000000002,0.0,86.0,2.7142857142857144
Gemma 27B,ab,11,com_cot,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,com_cot,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,com_cot,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,com_cot,A100,30,55,50,26.0,26.0,0.0,74.0,2.8461538461538463
Gemma 27B,ab,11,com_cot,A100,60,55,50,2.0,2.0,0.0,98.0,2.0
Gemma 27B,ab,11,com_cot,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,com_cot,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,com_cot,A100,30,60,50,44.0,44.0,0.0,56.00000000000001,2.4545454545454546
Gemma 27B,ab,11,com_cot,A100,60,60,50,22.0,22.0,0.0,78.0,2.5454545454545454
Gemma 27B,ab,11,com_cot,A100,90,60,50,4.0,4.0,0.0,96.0,2.0
Gemma 27B,ab,11,com_cot,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,com_cot,A100,30,65,50,90.0,90.0,0.0,10.0,1.9555555555555555
Gemma 27B,ab,11,com_cot,A100,60,65,50,44.0,44.0,0.0,56.00000000000001,2.1363636363636362
Gemma 27B,ab,11,com_cot,A100,90,65,50,36.0,36.0,0.0,64.0,2.611111111111111
Gemma 27B,ab,11,com_cot,A100,120,65,50,24.0,24.0,0.0,76.0,3.3333333333333335
Gemma 27B,ab,11,com_cot,A100,30,70,50,98.0,98.0,0.0,2.0,1.5510204081632653
Gemma 27B,ab,11,com_cot,A100,60,70,50,78.0,78.0,0.0,22.0,2.1025641025641026
Gemma 27B,ab,11,com_cot,A100,90,70,50,56.00000000000001,56.00000000000001,0.0,44.0,2.1785714285714284
Gemma 27B,ab,11,com_cot,A100,120,70,50,54.0,54.0,0.0,46.0,2.5925925925925926
Gemma 27B,ab,11,only_token,A100,30,51,50,4.0,4.0,0.0,96.0,3.5
Gemma 27B,ab,11,only_token,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,A100,90,51,50,0.0,0.0,0.0,100.0,
