model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,pq,7,only_token,60,A100,4,200,2.5,2.5,0.0,97.5,3.0
Gemma 27B,pq,7,only_token,65,A100,4,200,11.0,11.0,0.0,89.0,2.2301587301587302
Gemma 27B,pq,7,only_token,70,A100,4,200,23.0,23.0,0.0,77.0,1.9583333333333335
Gemma 27B,pq,9,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,pq,9,com_cot,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,pq,9,com_cot,60,A100,4,200,7.5,7.5,0.0,92.5,2.4423076923076925
Gemma 27B,pq,9,com_cot,65,A100,4,200,31.0,31.0,0.0,69.0,2.4039003759398496
Gemma 27B,pq,9,com_cot,70,A100,4,200,53.5,53.5,0.0,46.5,2.1206672203765224
Gemma 27B,pq,9,only_token,51,A100,4,200,3.0,3.0,0.0,97.0,4.333333333333333
Gemma 27B,pq,9,only_token,55,A100,4,200,4.5,4.5,0.0,95.5,3.5357142857142856
Gemma 27B,pq,9,only_token,60,A100,4,200,11.5,11.5,0.0,88.5,3.494949494949495
Gemma 27B,pq,9,only_token,65,A100,4,200,27.5,27.5,0.0,72.5,2.773706896551724
Gemma 27B,pq,9,only_token,70,A100,4,200,41.0,41.0,0.0,59.0,2.3226898101898104
Gemma 27B,pq,11,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,13.97
Gemma 27B,pq,11,com_cot,55,A100,4,200,50.0,100.0,50.0,0.0,10.280000000000001
Gemma 27B,pq,11,com_cot,60,A100,4,200,51.0,100.0,49.0,0.0,6.07
Gemma 27B,pq,11,com_cot,65,A100,4,200,63.5,100.0,36.5,0.0,3.072742946708464
Gemma 27B,pq,11,com_cot,70,A100,4,200,74.5,100.0,25.5,0.0,2.3046416586287277
Gemma 27B,pq,11,only_token,51,A100,4,200,3.0,3.0,0.0,97.0,2.6666666666666665
Gemma 27B,pq,11,only_token,55,A100,4,200,5.0,5.0,0.0,95.0,2.888888888888889
Gemma 27B,pq,11,only_token,60,A100,4,200,12.500000000000002,12.500000000000002,0.0,87.5,2.982142857142857
Gemma 27B,pq,11,only_token,65,A100,4,200,37.5,37.5,0.0,62.5,2.401449938949939
Gemma 27B,pq,11,only_token,70,A100,4,200,55.0,55.0,0.0,45.0,2.043548710038636
Gemma 27B,yesno,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,yesno,7,com_cot,55,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,yesno,7,com_cot,60,A100,4,200,3.0,3.0,0.0,97.0,3.5
Gemma 27B,yesno,7,com_cot,65,A100,4,200,16.0,16.0,0.0,84.0,2.9478557504873293
Gemma 27B,yesno,7,com_cot,70,A100,4,200,30.5,30.5,0.0,69.5,2.882258064516129
Gemma 27B,yesno,7,only_token,51,A100,4,200,3.0,5.5,2.5,94.5,4.4
Gemma 27B,yesno,7,only_token,55,A100,4,200,3.0,3.0,0.0,97.0,4.0
Gemma 27B,yesno,7,only_token,60,A100,4,200,9.0,9.0,0.0,91.0,4.222222222222222
Gemma 27B,yesno,7,only_token,65,A100,4,200,19.0,19.0,0.0,81.0,3.361111111111111
Gemma 27B,yesno,7,only_token,70,A100,4,200,30.0,30.0,0.0,70.0,2.8140535161432996
Gemma 27B,yesno,9,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,20.08
Gemma 27B,yesno,9,com_cot,55,A100,4,200,50.5,100.0,49.5,0.0,15.579615384615384
Gemma 27B,yesno,9,com_cot,60,A100,4,200,54.0,100.0,46.0,0.0,11.24878787878788
Gemma 27B,yesno,9,com_cot,65,A100,4,200,63.5,100.0,36.5,0.0,6.484366479550922
Gemma 27B,yesno,9,com_cot,70,A100,4,200,77.0,100.0,23.0,0.0,4.042106625258799
Gemma 27B,yesno,9,only_token,51,A100,4,200,50.0,100.0,50.0,0.0,7.789999999999999
