model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,kz,11,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,16.88
Gemma 27B,kz,11,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,13.08
Gemma 27B,kz,11,com_cot,60,srv54_parallel_20260313,4,200,52.0,99.0,47.0,1.0,8.366896551724137
Gemma 27B,kz,11,com_cot,65,srv54_parallel_20260313,4,200,63.0,98.0,35.0,2.0,4.2650532736739635
Gemma 27B,kz,11,com_cot,70,srv54_parallel_20260313,4,200,76.0,98.5,22.5,1.5,2.6586174242424243
Gemma 27B,kz,11,only_token,51,srv54_parallel_20260313,4,200,4.5,4.5,0.0,95.5,2.6666666666666665
Gemma 27B,kz,11,only_token,55,srv54_parallel_20260313,4,200,11.0,11.0,0.0,89.0,2.8095238095238098
Gemma 27B,kz,11,only_token,60,srv54_parallel_20260313,4,200,20.5,20.5,0.0,79.5,2.669642857142857
Gemma 27B,kz,11,only_token,65,srv54_parallel_20260313,4,200,39.0,39.0,0.0,61.0,2.1
Gemma 27B,kz,11,only_token,70,srv54_parallel_20260313,4,200,52.5,52.5,0.0,47.5,1.9207191457191457
Gemma 27B,pq,7,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,13.24
Gemma 27B,pq,7,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,10.49
Gemma 27B,pq,7,com_cot,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,7.81
Gemma 27B,pq,7,com_cot,65,srv54_parallel_20260313,4,200,52.0,100.0,48.0,0.0,5.474827586206897
Gemma 27B,pq,7,com_cot,70,srv54_parallel_20260313,4,200,54.5,100.0,45.5,0.0,3.97020979020979
Gemma 27B,pq,7,only_token,51,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,2.0
